accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac,speed
0.417,-0.005,-6.532,50.378,-24.842,14.739,-502.029,-825.44,3.65,0.042,-10.62,-24.197,142.406,-164.972
0.417,-0.005,-6.532,50.378,-24.842,14.739,-502.203,-825.088,3.65,0.042,-10.675,-23.553,142.527,-164.962
-1.374,-1.935,-9.343,-25.124,-20.875,14.8,-502.349,-825.263,-8.197,11.699,-10.816,-23.401,142.515,-164.996
-1.374,-1.935,-9.343,-25.124,-20.875,14.8,-502.495,-825.439,-8.197,11.699,-10.957,-23.25,142.504,-165.031
-1.374,-1.935,-9.343,-25.124,-20.875,14.8,-502.641,-825.615,-8.197,11.699,-11.095,-23.101,142.492,-165.066
0.833,-2.026,-17.857,-88.601,-36.256,17.241,-502.895,-826.235,2.655,6.472,-11.247,-23.511,138.393,-165.045
0.833,-2.026,-17.857,-88.601,-36.256,17.241,-503.148,-826.856,2.655,6.472,-11.397,-23.917,138.277,-165.024
0.833,-2.026,-17.857,-88.601,-36.256,17.241,-503.402,-827.476,2.655,6.472,-11.545,-24.32,138.166,-165.003
-0.369,1.101,-9.304,-99.1,-26.856,12.786,-503.59,-828.169,-2.254,-6.751,-11.666,-24.934,138.034,-165.012
-0.369,1.101,-9.304,-99.1,-26.856,12.786,-503.778,-828.863,-2.254,-6.751,-11.786,-25.542,137.909,-165.021
-0.369,1.101,-9.304,-99.1,-26.856,12.786,-503.966,-829.557,-2.254,-6.751,-11.905,-26.144,137.79,-165.031
-0.268,3.352,-12.269,-23.964,-29.969,15.41,-504.176,-829.725,-1.208,-15.282,-12.037,-26.226,137.737,-165.037
-0.268,3.352,-12.269,-23.964,-29.969,15.41,-504.386,-829.892,-1.208,-15.282,-12.167,-26.307,137.686,-165.044
-0.268,3.352,-12.269,-23.964,-29.969,15.41,-504.596,-830.06,-1.208,-15.282,-12.297,-26.388,137.635,-165.051
0.22,-0.412,-9.582,-7.24,-28.87,15.899,-504.798,-830.111,1.316,2.461,-12.391,-26.157,137.634,-165.045
0.22,-0.412,-9.582,-7.24,-28.87,15.899,-505,-830.161,1.316,2.461,-12.484,-25.929,137.634,-165.04
0.22,-0.412,-9.582,-7.24,-28.87,15.899,-505.231,-830.219,1.316,2.461,-12.609,-25.711,137.621,-165.033
-0.067,1.733,-13.748,-53.75,-27.711,12.175,-505.425,-830.596,-0.277,-7.186,-12.706,-25.954,137.558,-165.035
-0.067,1.733,-13.748,-53.75,-27.711,12.175,-505.619,-830.972,-0.277,-7.186,-12.803,-26.195,137.497,-165.037
-0.407,1.925,-14.457,-47.768,-26.856,14.983,-505.807,-831.306,-1.599,-7.585,-12.905,-26.389,137.44,-165.047
-0.407,1.925,-14.457,-47.768,-26.856,14.983,-505.995,-831.641,-1.599,-7.585,-13.006,-26.582,137.384,-165.057
-0.407,1.925,-14.457,-47.768,-26.856,14.983,-506.209,-832.023,-1.599,-7.585,-13.136,-26.827,137.314,-165.069
-0.316,0.488,-10.707,-22.56,-27.894,15.532,-506.405,-832.181,-1.689,-2.612,-13.244,-26.765,135.274,-165.077
