accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac
-0.134,-0.182,-9.778,16.374,0.742,1.494,68.777,386.487,-0.785,1.066,-0.238,1.334,-60.759
-0.134,-0.182,-9.778,16.374,0.742,1.494,68.782,386.602,-0.785,1.066,-0.238,1.467,-60.808
0.326,-0.196,-9.836,14.177,0.498,1.433,68.785,386.701,1.896,1.144,-0.212,1.582,-59.233
0.326,-0.196,-9.836,14.177,0.498,1.433,68.788,386.786,1.896,1.144,-0.188,1.678,-59.281
0.326,-0.196,-9.836,14.177,0.498,1.433,68.792,386.886,1.896,1.144,-0.163,1.791,-59.334
0.326,-0.263,-9.716,12.956,0.132,1.494,68.793,386.976,1.919,1.553,-0.141,1.896,-59.383
0.326,-0.263,-9.716,12.956,0.132,1.494,68.794,387.067,1.919,1.553,-0.119,2.001,-59.432
0.326,-0.263,-9.716,12.956,0.132,1.494,68.794,387.145,1.919,1.553,-0.098,2.088,-59.474
0.101,-0.311,-9.697,12.346,0.01,1.616,68.794,387.231,0.594,1.838,-0.091,2.189,-59.512
0.101,-0.311,-9.697,12.346,0.01,1.616,68.795,387.318,0.594,1.838,-0.084,2.288,-59.549
0.101,-0.311,-9.697,12.346,0.01,1.616,68.795,387.392,0.594,1.838,-0.077,2.371,-59.581
-0.402,-0.402,-9.774,10.332,0.193,1.738,68.796,387.454,-2.355,2.357,-0.098,2.445,-59.594
-0.402,-0.402,-9.774,10.332,0.193,1.738,68.797,387.526,-2.355,2.357,-0.119,2.53,-59.611
-0.402,-0.402,-9.774,10.332,0.193,1.738,68.798,387.598,-2.355,2.357,-0.14,2.614,-59.627
-0.484,-0.393,-9.802,7.097,0.559,1.616,68.802,387.648,-2.822,2.294,-0.162,2.67,-59.633
-0.484,-0.393,-9.802,7.097,0.559,1.616,68.806,387.691,-2.822,2.294,-0.185,2.717,-59.636
-0.484,-0.393,-9.802,7.097,0.559,1.616,68.81,387.74,-2.822,2.294,-0.207,2.771,-59.642
-0.139,-0.369,-9.788,3.679,0.681,1.494,68.814,387.766,-0.812,2.157,-0.207,2.796,-59.65
-0.139,-0.369,-9.788,3.679,0.681,1.494,68.818,387.788,-0.812,2.157,-0.208,2.816,-59.656
-0.139,-0.369,-9.788,3.679,0.681,1.494,68.823,387.814,-0.812,2.157,-0.209,2.84,-59.663
-0.067,-0.378,-9.764,1.054,0.62,1.555,68.827,387.82,-0.393,2.219,-0.206,2.841,-59.438
-0.067,-0.378,-9.764,1.054,0.62,1.555,68.831,387.828,-0.393,2.219,-0.203,2.844,-59.441
-0.067,-0.378,-9.764,1.054,0.62,1.555,68.836,387.835,-0.393,2.219,-0.199,2.846,-59.444
-0.172,-0.383,-9.759,-0.777,0.498,1.616,68.839,387.83,-1.011,2.248,-0.204,2.835,-59.437
-0.172,-0.383,-9.759,-0.777,0.498,1.616,68.842,387.825,-1.011,2.248,-0.208,2.822,-59.431
-0.172,-0.383,-9.759,-0.777,0.498,1.616,68.846,387.819,-1.011,2.248,-0.212,2.81,-59.425
-0.23,-0.383,-9.731,-2.303,0.498,1.616,68.849,387.806,-1.352,2.255,-0.22,2.788,-59.413
-0.23,-0.383,-9.731,-2.303,0.498,1.616,68.852,387.789,-1.352,2.255,-0.227,2.764,-59.4
-0.23,-0.383,-9.731,-2.303,0.498,1.616,68.856,387.773,-1.352,2.255,-0.234,2.739,-59.388
-0.091,-0.354,-9.726,-3.463,0.498,1.494,68.859,387.749,-0.536,2.087,-0.233,2.704,-59.376
-0.091,-0.354,-9.726,-3.463,0.498,1.494,68.862,387.728,-0.536,2.087,-0.232,2.673,-59.366
-0.091,-0.354,-9.726,-3.463,0.498,1.494,68.866,387.704,-0.536,2.087,-0.231,2.639,-59.355
-0.01,-0.364,-9.745,-4.134,0.559,1.494,68.869,387.675,-0.056,2.139,-0.225,2.599,-59.345
-0.01,-0.364,-9.745,-4.134,0.559,1.494,68.873,387.646,-0.056,2.139,-0.218,2.56,-59.335
-0.01,-0.364,-9.745,-4.134,0.559,1.494,68.877,387.621,-0.056,2.139,-0.213,2.527,-59.327
-0.053,-0.345,-9.692,-4.561,0.62,1.555,68.881,387.589,-0.311,2.037,-0.209,2.484,-59.314
-0.053,-0.345,-9.692,-4.561,0.62,1.555,68.885,387.558,-0.311,2.037,-0.205,2.441,-59.302
-0.053,-0.345,-9.692,-4.561,0.62,1.555,68.889,387.53,-0.311,2.037,-0.201,2.405,-59.291
-0.192,-0.321,-9.697,-4.744,0.803,1.555,68.895,387.497,-1.131,1.895,-0.204,2.36,-59.274
-0.192,-0.321,-9.697,-4.744,0.803,1.555,68.9,387.464,-1.131,1.895,-0.206,2.316,-59.258
-0.192,-0.321,-9.697,-4.744,0.803,1.555,68.906,387.431,-1.131,1.895,-0.209,2.272,-59.241
-0.196,-0.302,-9.735,-4.744,0.803,1.433,68.911,387.402,-1.155,1.775,-0.213,2.234,-59.697
-0.196,-0.302,-9.735,-4.744,0.803,1.433,68.916,387.369,-1.155,1.775,-0.215,2.19,-59.68
-0.196,-0.302,-9.735,-4.744,0.803,1.433,68.922,387.336,-1.155,1.775,-0.218,2.146,-59.664
-0.177,-0.287,-9.735,-5.172,0.925,1.433,68.929,387.299,-1.042,1.69,-0.219,2.098,-59.648
-0.177,-0.287,-9.735,-5.172,0.925,1.433,68.935,387.263,-1.042,1.69,-0.219,2.051,-59.631
-0.158,-0.263,-9.707,-5.66,0.864,1.433,68.941,387.224,-0.932,1.554,-0.219,1.999,-59.614
-0.158,-0.263,-9.707,-5.66,0.864,1.433,68.946,387.19,-0.932,1.554,-0.22,1.955,-59.598
-0.158,-0.263,-9.707,-5.66,0.864,1.433,68.952,387.15,-0.932,1.554,-0.22,1.903,-59.58
-0.129,-0.254,-9.697,-6.27,0.864,1.371,68.958,387.106,-0.764,1.499,-0.218,1.847,-59.562
-0.129,-0.254,-9.697,-6.27,0.864,1.371,68.964,387.062,-0.764,1.499,-0.217,1.792,-59.544
-0.129,-0.254,-9.697,-6.27,0.864,1.371,68.97,387.025,-0.764,1.499,-0.216,1.744,-59.528
-0.005,-0.215,-9.654,-5.965,0.742,1.371,68.975,386.983,-0.028,1.279,-0.208,1.69,-59.514
-0.005,-0.215,-9.654,-5.965,0.742,1.371,68.979,386.947,-0.028,1.279,-0.201,1.643,-59.502
-0.005,-0.215,-9.654,-5.965,0.742,1.371,68.984,386.905,-0.028,1.279,-0.193,1.59,-59.488
-0.096,-0.182,-9.654,-4.134,0.681,1.433,68.989,386.881,-0.568,1.08,-0.192,1.555,-59.476
-0.096,-0.182,-9.654,-4.134,0.681,1.433,68.994,386.848,-0.568,1.08,-0.189,1.511,-59.463
-0.096,-0.182,-9.654,-4.134,0.681,1.433,68.998,386.823,-0.568,1.08,-0.188,1.478,-59.452
-0.077,-0.192,-9.673,-1.692,0.559,1.555,69.002,386.811,-0.454,1.134,-0.186,1.46,-59.285
-0.077,-0.192,-9.673,-1.692,0.559,1.555,69.006,386.799,-0.454,1.134,-0.184,1.443,-59.28
-0.077,-0.192,-9.673,-1.692,0.559,1.555,69.009,386.789,-0.454,1.134,-0.183,1.428,-59.275
0,-0.187,-9.654,0.749,0.437,1.555,69.012,386.794,0,1.108,-0.177,1.431,-59.28
0,-0.187,-9.654,0.749,0.437,1.555,69.015,386.799,0,1.108,-0.172,1.433,-59.283
0,-0.187,-9.654,0.749,0.437,1.555,69.018,386.804,0,1.108,-0.167,1.436,-59.287
0,-0.201,-9.673,2.702,0.376,1.555,69.02,386.82,0,1.191,-0.163,1.452,-59.296
0,-0.201,-9.673,2.702,0.376,1.555,69.023,386.839,0,1.191,-0.158,1.472,-59.306
0,-0.201,-9.673,2.702,0.376,1.555,69.026,386.858,0,1.191,-0.153,1.492,-59.315
-0.096,-0.235,-9.659,3.923,0.498,1.555,69.029,386.881,-0.568,1.392,-0.154,1.519,-59.324
-0.096,-0.235,-9.659,3.923,0.498,1.555,69.032,386.909,-0.568,1.392,-0.154,1.55,-59.335
-0.096,-0.235,-9.659,3.923,0.498,1.555,69.035,386.936,-0.568,1.392,-0.154,1.581,-59.346
-0.244,-0.254,-9.702,4.167,0.803,1.616,69.04,386.961,-1.441,1.499,-0.161,1.61,-59.352
-0.244,-0.254,-9.702,4.167,0.803,1.616,69.046,386.991,-1.441,1.499,-0.167,1.644,-59.36
-0.244,-0.254,-9.702,4.167,0.803,1.616,69.052,387.02,-1.441,1.499,-0.173,1.677,-59.368
-0.263,-0.268,-9.783,2.885,0.925,1.555,69.058,387.04,-1.542,1.57,-0.179,1.7,-59.372
-0.263,-0.268,-9.783,2.885,0.925,1.555,69.064,387.057,-1.542,1.57,-0.186,1.719,-59.375
-0.263,-0.268,-9.783,2.885,0.925,1.555,69.07,387.077,-1.542,1.57,-0.192,1.742,-59.379
-0.11,-0.249,-9.798,0.871,0.803,1.494,69.075,387.083,-0.644,1.456,-0.191,1.745,-60.201
-0.11,-0.249,-9.798,0.871,0.803,1.494,69.081,387.089,-0.644,1.456,-0.189,1.749,-60.204
-0.11,-0.249,-9.798,0.871,0.803,1.494,69.085,387.094,-0.644,1.456,-0.187,1.753,-60.206
0.01,-0.249,-9.774,-0.655,0.62,1.494,69.09,387.089,0.056,1.459,-0.18,1.744,-60.207
0.01,-0.249,-9.774,-0.655,0.62,1.494,69.094,387.085,0.056,1.459,-0.172,1.736,-60.209
0.01,-0.249,-9.774,-0.655,0.62,1.494,69.098,387.08,0.056,1.459,-0.165,1.728,-60.211
0.005,-0.23,-9.74,-1.204,0.315,1.555,69.1,387.073,0.028,1.352,-0.161,1.715,-60.209
0.005,-0.23,-9.74,-1.204,0.315,1.555,69.102,387.066,0.028,1.352,-0.157,1.703,-60.207
0.005,-0.23,-9.74,-1.204,0.315,1.555,69.104,387.057,0.028,1.352,-0.152,1.69,-60.205
-0.067,-0.244,-9.692,-0.96,0.315,1.555,69.107,387.051,-0.396,1.443,-0.152,1.679,-60.202
-0.067,-0.244,-9.692,-0.96,0.315,1.555,69.108,387.045,-0.396,1.443,-0.152,1.67,-60.198
-0.067,-0.244,-9.692,-0.96,0.315,1.555,69.111,387.038,-0.396,1.443,-0.152,1.66,-60.195
