accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac
1.82,0.139,-9.022,-47.486,-0.31,-0.928,-164.898,717.689,11.402,-0.882,-1.01,1.462,-47.929
1.82,0.139,-9.022,-47.486,-0.31,-0.928,-164.9,717.309,11.402,-0.882,-0.889,1.006,-47.762
2.71,0.019,-9.017,-22.584,-0.066,-0.379,-164.901,717.151,16.73,-0.122,-0.713,0.815,-47.761
2.71,0.019,-9.017,-22.584,-0.066,-0.379,-164.901,717.016,16.73,-0.122,-0.539,0.651,-47.773
2.71,0.019,-9.017,-22.584,-0.066,-0.379,-164.901,716.858,16.73,-0.122,-0.367,0.463,-47.773
1.743,0.081,-9.285,-3.845,0.3,0.048,-164.9,716.834,10.632,-0.502,-0.255,0.427,-47.818
1.743,0.081,-9.285,-3.845,0.3,0.048,-164.897,716.808,10.632,-0.502,-0.144,0.387,-47.86
1.743,0.081,-9.285,-3.845,0.3,0.048,-164.895,716.781,10.632,-0.502,-0.033,0.348,-47.903
-0.637,0.057,-9.549,8.179,0.605,0.537,-164.892,716.83,-3.816,-0.345,-0.067,0.397,-47.909
-0.637,0.057,-9.549,8.179,0.605,0.537,-164.888,716.887,-3.816,-0.345,-0.1,0.454,-47.92
-0.637,0.057,-9.549,8.179,0.605,0.537,-164.884,716.936,-3.816,-0.345,-0.133,0.502,-47.926
-1.724,-0.096,-9.63,14.832,0.85,0.659,-164.877,717.055,-10.149,0.57,-0.225,0.638,-49.558
-1.724,-0.096,-9.63,14.832,0.85,0.659,-164.87,717.173,-10.149,0.57,-0.317,0.773,-49.573
-1.724,-0.096,-9.63,14.832,0.85,0.659,-164.865,717.262,-10.149,0.57,-0.409,0.872,-49.569
-0.718,-0.005,-9.52,18.311,1.521,0.415,-164.855,717.391,-4.315,0.029,-0.436,1.009,-49.622
-0.718,-0.005,-9.52,18.311,1.521,0.415,-164.845,717.5,-4.315,0.029,-0.465,1.125,-49.664
-0.718,-0.005,-9.52,18.311,1.521,0.415,-164.835,717.629,-4.315,0.029,-0.491,1.26,-49.716
1.37,-0.139,-9.663,26.367,1.277,0.537,-164.827,717.787,8.066,0.823,-0.397,1.435,-49.858
1.37,-0.139,-9.663,26.367,1.277,0.537,-164.818,717.971,8.066,0.823,-0.302,1.639,-50.014
1.37,-0.139,-9.663,26.367,1.277,0.537,-164.809,718.156,8.066,0.823,-0.208,1.841,-50.167
1.121,-0.249,-9.414,34.485,0.728,0.598,-164.805,718.363,6.785,1.515,-0.133,2.074,-50.323
