accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac,speed
-0.579,-1.307,-9.726,-7.313,2.083,1.49,-40.59,1214.88,-3.379,7.656,-2.772,8.875,-65.234,-709.683
-0.579,-1.307,-9.726,-7.313,2.083,1.49,-40.574,1214.82,-3.379,7.656,-2.76,8.797,-65.21,-709.7
-0.579,-1.307,-9.726,-7.313,2.083,1.49,-40.559,1214.77,-3.379,7.656,-2.749,8.727,-65.188,-709.714
-0.378,-1.341,-9.635,-9.938,1.534,0.879,-40.549,1214.69,-2.227,7.923,-2.732,8.64,-65.164,-709.724
-0.378,-1.341,-9.635,-9.938,1.534,0.879,-40.538,1214.63,-2.227,7.923,-2.714,8.553,-65.14,-709.733
-0.378,-1.341,-9.635,-9.938,1.534,0.879,-40.525,1214.55,-2.227,7.923,-2.696,8.457,-65.112,-709.744
-0.804,-1.427,-9.525,-12.501,2.389,1.551,-40.506,1214.45,-4.775,8.521,-2.695,8.343,-65.062,-709.767
-0.804,-1.427,-9.525,-12.501,2.389,1.551,-40.49,1214.36,-4.775,8.521,-2.696,8.245,-65.015,-709.788
-0.771,-1.264,-9.596,-17.018,3.487,2.039,-40.462,1214.22,-4.554,7.505,-2.683,8.083,-64.952,-709.81
-0.771,-1.264,-9.596,-17.018,3.487,2.039,-40.437,1214.1,-4.554,7.505,-2.674,7.942,-64.895,-709.829
-0.771,-1.264,-9.596,-17.018,3.487,2.039,-40.413,1213.98,-4.554,7.505,-2.665,7.802,-64.838,-709.849
-0.541,-1.149,-9.625,-20.985,3.487,1.551,-40.389,1213.84,-3.195,6.809,-2.643,7.625,-64.775,-709.862
-0.541,-1.149,-9.625,-20.985,3.487,1.551,-40.361,1213.67,-3.195,6.809,-2.616,7.425,-64.705,-709.878
-0.541,-1.149,-9.625,-20.985,3.487,1.551,-40.336,1213.52,-3.195,6.809,-2.594,7.252,-64.643,-709.892
1.073,-0.757,-9.788,-23.915,3.976,1.49,-40.308,1213.36,6.236,4.42,-2.474,7.033,-64.648,-709.865
1.073,-0.757,-9.788,-23.915,3.976,1.49,-40.281,1213.19,6.236,4.42,-2.356,6.816,-64.654,-709.838
1.073,-0.757,-9.788,-23.915,3.976,1.49,-40.257,1213.05,6.236,4.42,-2.243,6.629,-64.669,-709.814
-0.785,-1.13,-9.443,-24.281,6.722,4.908,-40.21,1212.88,-4.72,6.824,-2.214,6.437,-64.603,-709.834
-0.785,-1.13,-9.443,-24.281,6.722,4.908,-40.156,1212.68,-4.72,6.824,-2.178,6.22,-64.532,-709.857
-0.785,-1.13,-9.443,-24.281,6.722,4.908,-40.109,1212.51,-4.72,6.824,-2.149,6.033,-64.467,-709.877
-0.383,-0.848,-9.649,-27.272,8.98,6.617,-40.046,1212.32,-2.265,5.02,-2.079,5.805,-64.422,-709.886
-0.383,-0.848,-9.649,-27.272,8.98,6.617,-39.974,1212.1,-2.265,5.02,-1.999,5.549,-64.372,-709.897
-0.144,-0.632,-9.74,-27.028,9.347,6.739,-39.909,1211.91,-0.843,3.713,-1.913,5.315,-64.338,-709.901
-0.144,-0.632,-9.74,-27.028,9.347,6.739,-39.843,1211.72,-0.843,3.713,-1.828,5.084,-64.305,-709.905
-0.144,-0.632,-9.74,-27.028,9.347,6.739,-39.769,1211.51,-0.843,3.713,-1.733,4.824,-64.267,-709.909
-0.062,-0.474,-9.807,-23.793,8.065,5.884,-39.712,1211.34,-0.363,2.768,-1.655,4.614,-64.238,-709.91
